C#,CNAME,PERIOD,CREDIT,TEACHER
ED-89,生命的存在与死亡教育,32,2.0,"洪苏涵,董研林"
ED-14,大学生心理健康与自我调适,32,2.0,"闫琼,李美婷"
CP-86,课外实践8学分,0,8.0,"任君,刘晗梦,杨瑞,高天"
ED-77,大学生创业训练与实践,32,2.0,"郑旭红,朱宏伟"
ED-80,大学生职业发展与规划,32,2.0,姬姣姣
ED-83,国际化视野及能力培养提升,32,2.0,"衣建甲,贺长中"
ED-61,在线开放课程助教,0,0.0,肖胜军
IS-93,毕业设计（论文）,128,8.0,赵炜
TE-93,国际贸易实务,64,4.0,杨杨
SJ-58,中国传统文化实践-2,16,1.0,尚磊明
TE-44,中国概况,32,2.0,赵炜
TE-47,当代影视鉴赏,32,2.0,张知倞
TE-53,简明中国历史,32,2.0,李睿
TE-16,汉语综合课2,96,6.0,杨杨
TE-22,汉语听说2,64,4.0,李馨郁
TE-69,口腔医学汉语2,64,4.0,马萍
TE-81,汉语听力-2,64,4.0,冯潇
TE-96,综合医学汉语2,64,4.0,周瑜洁
TE-08,汉语口语-2,96,6.0,孔娟
TE-14,综合医学汉语4,64,4.0,周程程
TE-35,初级汉语听力2,64,4.0,邵一圃
TE-41,中级汉语听说2,64,4.0,冯潇
TE-65,初级汉语口语2,96,6.0,杨莉莉
TE-71,综合医学汉语6,64,4.0,马萍
TE-77,中级汉语阅读2,64,4.0,邵一圃
TE-86,HSK四级综合课,160,10.0,谈芳
TE-89,口腔医学汉语4,64,4.0,张爱珍
TE-92,口腔医学汉语6,64,4.0,张爱珍
TE-10,综合医学汉语8,64,4.0,韩娇娇
TE-13,口腔医学汉语8,64,4.0,周程程
TE-28,基础医学汉语-2,96,6.0,戴艳茹
TE-26,初级汉语精读2,160,10.0,孙玉茜
TE-62,商务对话-2,64,4.0,马春燕
TE-19,中国经济与对外贸易概况,32,2.0,杨杨
TE-25,汉字概论,32,2.0,李馨郁
TE-49,商务新闻阅读,32,2.0,孙玉茜
TE-52,中国古代文学,32,2.0,马春燕
TH-93,文科高等数学,64,4.0,贾应智
TO-56,工业社会学,24,1.5,高建民
RE-94,制造与社会发展,32,2.0,李兵
RE-12,工业文明与数字社会,32,2.0,"高建民,孙孝飞,马富银,温广瑞,王永泉"
RE-15,工程实践与伦理,32,2.0,"周延云,王小鹏,张启路,马富银,胡桥,周科,苏文斌"
RE-71,创新思维和机器人创客实践,48,3.0,"张英杰,张政,徐海波"
ES-73,食品化学,56,3.0,彭锦峰
ES-79,微生物学,32,2.0,"薛晚利,代秉玲"
ES-85,微生物学实验,32,1.0,张璐薇
ED-06,项目管理,32,2.0,耿海鹏
ED-15,数字化设计与制造软件应用基础,40,2.0,许睦旬
ED-18,走进机器人：项目驱动的创新与实践,52,2.0,徐俊
ED-24,艺术设计思维与实践,32,2.0,"杨增耀,李萌"
ED-27,人工智能导论,40,2.0,"张小栋,秦立果,王晶"
DE-38,毕业设计（未来智能制造方向高级项目）,256,8.0,"梅雪松,杨树明,赵志斌,彭军,陈帅,孙若斌"
DE-95,机械设计基础Ⅲ,48,2.5,徐亮
DE-82,美学与设计,32,2.0,蔺肖曼
DE-88,设计调查,32,2.0,"杨增耀,张煜"
DE-15,设计造型Ⅱ,48,2.0,蔺肖曼
DE-21,人因素和人机学,48,2.5,"李宏伟,李萌,张煜"
DE-39,社会创新设计,40,2.0,张煜
DE-87,人机界面设计,40,2.0,杨增耀
DE-90,工业大数据处理与程序设计,40,2.0,仇国巍
DE-93,Web编程技术,40,2.0,"谢涛,李宏伟"
DE-41,工业设计实践Ⅱ-5,32,1.0,杨增耀
DE-47,工业设计实践Ⅱ-1,32,1.0,李萌
DE-59,工业设计实践Ⅰ-5,32,1.0,张煜
DE-65,工业设计实践Ⅰ-2,32,1.0,蔺肖曼
SM-09,无线传感网络技术,24,1.5,韦学勇
SM-18,测试技术,48,2.0,"徐光华,李敏"
SM-27,数字图像处理,40,2.0,赵自新
SM-23,智能仪器与虚拟仪器设计,52,3.0,"侯成刚,刘弹"
SM-26,设备监测与诊断技术及应用,36,1.5,"徐光华,梁霖"
SM-29,机床精密测量与动态测试,40,2.0,"李兵,魏翔"
SM-38,仪器设计综合性实验-1,80,2.5,"侯成刚,刘弹"
DE-84,CDIO项目实践,56,2.0,王永泉
SJ-38,光电检测专题实验,32,1.0,李珂嘉
SJ-44,综合性实践训练,64,2.0,赵宏
CH-04,机械工程导论,16,1.0,刘志刚
CH-07,智能制造工程导论,16,1.0,"江平宇,张小栋,陈雪峰,周光辉,曹军义,陈贵敏,刘啸川,黄科"
CH-85,机械制图,48,3.0,曾亮
CH-88,工程制图,32,2.0,姜维
CH-00,工程图学,52,3.0,许睦旬
CH-06,机械设计基础Ⅰ,72,4.0,王恪典
CH-09,机械设计基础Ⅱ,56,3.0,"陈丽,徐亮"
CH-24,大数据技术,36,2.0,"严如强,马猛"
CH-30,大数据技术,64,4.0,"张留洋,李乃鹏,刘啸川,马猛"
CH-36,材料力学（英）,48,3.0,娄燕山
CH-48,工业互联网与云计算基础,56,3.0,"曹军义,张政"
CH-79,机械设计基础课程设计,32,1.0,陈丽
CH-94,机械控制工程基础,56,3.0,"李小虎,范淑琴"
CH-57,材料成形技术基础,32,2.0,"张航,蔡洪能,臧顺来"
CH-60,机械工程测试技术,48,2.5,张周锁
CH-63,机械工程测试技术（英）,48,2.5,杨树明
CH-69,材料成形技术基础（英）,32,2.0,"王富,黄科"
CH-72,数控技术,56,3.0,"刘红忠,牛东"
CH-81,微纳制造工艺与装备,48,2.5,"邵金友,陈小明,王春慧,田洪淼,李祥明,陈小亮"
CH-84,机器人技术及应用,40,2.0,董霞
CH-93,智能制造技术基础,64,3.5,"康城玮,位文明"
CH-08,人工智能基础,64,4.0,"秦立果,张小栋"
CH-11,机械设计及其智能化,48,3.0,"王永泉,桂亮,李宝童,郭婷,权双璐,赵志斌"
CH-26,智能传感器与检测技术（英）,48,3.0,"严如强,赵志斌"
CH-29,深度学习与智能运维,48,3.0,"赵志斌,马猛,丁宝庆,吴淑明"
CH-32,智能制造执行系统技术,48,3.0,"张超,周光辉"
CH-41,智能制造执行系统技术,72,3.0,江平宇
CH-44,智能运维与健康管理,64,3.0,"訾艳阳,王宇,陈景龙"
CH-50,智能制造工艺与装备,56,3.0,赵万华
CH-53,智能成形技术,56,3.0,"张琦,杨强"
CH-02,现代机器人技术,40,2.0,董霞
CH-05,企业与生产运作管理,36,2.0,马登龙
CH-17,机械故障诊断技术,40,2.0,"訾艳阳,王琇峰,陈景龙"
CH-23,机械动力学,32,2.0,王小鹏
CH-56,现代设计理论与方法,32,2.0,朱永生
CH-59,柔性电子制造与应用（英）,32,2.0,陈小明
CH-77,创新思维和机器人创客实践,32,2.0,朱爱斌
CH-86,信息处理技术,32,2.0,"徐光华,李敏,闫文强"
CH-89,数字信号处理,32,2.0,"郑杨,闫文强"
CH-92,智能机器及其实施技术,32,2.0,"赵升吨,王永飞,范淑琴"
CH-47,智能制造系统的人工智能应用及实践,64,2.0,"孙闯,陈雪峰,王保建,秦立果,尹昱东,李卓林"
TL-83,工程材料基础,32,2.0,孙巧艳
NG-03,汽车电子与控制,40,2.0,张政
NG-09,车辆制造实验,48,1.5,"金涛,张大伟,臧顺来,郭文静,尹昱东,方学伟"
NG-15,车辆制造装备与系统,24,1.5,张大伟
NG-18,车辆工程导论,16,1.0,"张琦,赵升吨,徐俊"
NG-27,电动汽车与混合动力技术,40,2.0,曹军义
NG-30,汽车结构有限元与数值计算,24,1.0,臧顺来
NG-78,车辆设计,40,2.0,"林起崟,韩宾"
NG-81,现代轨道车辆,40,2.0,李靖祥
NG-05,车辆电机与驱动,40,2.0,"李靖祥,范淑琴"
NG-08,智能汽车技术,32,2.0,"陈景龙,刘意"
NG-41,车辆工程CDIO,56,2.0,徐俊
RE-95,3D打印.材料之光,32,2.0,"孙琨,鲍崇高"
ED-01,动漫世界的材料化学探秘,32,2.0,宁晓辉
ED-04,多学科交叉创新与自主创业实践,32,2.0,"田高良,张生,宋忠孝"
ED-19,艺术铸造及创作实践,32,2.0,"刘志伟,赵兴杨,崔琦,郑巧玲"
TL-88,工程材料基础,56,3.0,王继平
TL-89,材料性能,48,3.0,"单智伟,解德刚,周玉美"
TL-92,Characterization techniques in materials science research,32,2.0,陈凯
TL-01,材料工程基础,64,4.0,"王玉,杨贺杰,张林杰"
TL-10,金相制备与分析实验,32,1.0,"王红洁,孙巧艳,孙俊杰,王耿洁"
TL-13,材料性能与测试技术实验,32,1.0,"牛靖,陈凯"
TL-16,高分子化学与物理实验,32,1.0,张启路
TL-31,材料科学基础-1,32,2.0,殷咸青
TL-46,材料工程基础,40,2.5,"刘志伟,李梅娥"
TL-52,材料研究方法,32,2.0,胡磊
TL-58,功能材料学,32,2.0,"潘毅,郭靖"
TL-67,材料科学基础,40,2.5,"张兰,王章洁"
RE-96,能源与人类文明发展,32,2.0,"杨冬,徐东海"
RE-02,再创式学习方法与技术创新训练,32,2.0,"薛绒,杨旭,吴伟烽"
RE-05,科学技术与工程伦理,32,2.0,"李早阳,孙中国"
RE-11,核与世界,32,2.0,"王永平,曹良志,王立剑,刘宙宇"
RE-17,全球科技史纲,32,2.0,"白涛,赵日晶"
RE-20,Energy and Environment,32,2.0,褚雯霄
RE-41,人与环境,32,2.0,"徐浩,李珊珊,王嘉楠,冯江涛,延卫"
PO-92,热工基础Ⅰ,44,2.5,"何茂刚,辛楠"
PO-95,大学计算机 -工程算法编程,56,3.0,"陈斌,周致富"
PO-42,工程热力学（英）,64,3.5,"辛楠,杜燊,杨富鑫"
PO-48,自动控制原理Ⅰ,52,2.5,"赵攀,王桂芳"
PO-51,流体力学Ⅰ,64,3.5,龚建英
PO-54,工程热力学Ⅰ,64,3.5,"何雅玲,何茂刚"
PO-57,热能与动力测试技术,52,2.5,"邓清华,王珍珍,徐彤彤,王桂芳,刘齐寿"
PO-60,流体力学（英）,64,3.5,孙金菊
PO-63,热流体课程实验-1,32,1.0,"唐上朝,张可,王小丹,孟婧,程上方,邢张梦,梁雪琪"
PO-75,现代电力生产技术,56,3.0,"刘继平,赵全斌,邱斌斌,韩小渠,王桂芳,赵永亮,徐彤彤"
PO-78,储能原理与应用,48,3.0,"刘朝晖,杨冬,李明涛"
PO-81,先进制冷低温技术,56,3.0,"赖天伟,刘秀芳,张兴群,刘晔,侯予,陈良"
PO-77,流体热物性测试技术,56,3.0,"吴江涛,毕胜山,孟现阳,张可"
PO-80,换热器设计,48,3.0,"曾敏,程志龙"
PO-83,透平机械流体动力学,48,3.0,何坤
PO-11,制冷与低温技术原理,52,3.0,"鱼剑琳,白涛,李翠,张兴群,刘晔,厉彦忠,陈旗"
PO-14,流体机械原理,56,3.0,"王志恒,张楚华,林梅"
PO-17,热力发电厂,58,3.0,"种道彤,刘明,王朝阳,王桂芳,徐彤彤"
PO-20,压缩机原理与结构,52,3.0,"曹锋,杨旭,王雷雷,张薇,王澈"
PO-23,发动机原理与构造,60,3.0,"胡二江,黄勇成,汤成龙"
PO-26,锅炉原理,56,3.0,"车得福,邓磊,张润霞"
PO-29,汽轮机原理,56,3.0,"邓清华,刘钊,颜晓江"
PO-32,汽车理论及构造,48,3.0,"汪映,王锡斌,黄勇成"
PO-35,新能源汽车动力与控制,52,3.0,"姜雪,杨博,刘兵"
PO-38,储能热流基础实验,16,0.5,"孟婧,邢张梦"
PO-41,储能热流基础,64,4.0,"何雅玲,席奂,李冬"
PO-44,传热传质学,56,3.0,"方文振,陈黎"
PO-47,热质储能技术及应用实验,16,0.5,"孟婧,邢张梦"
PO-50,热质储能技术及应用,40,2.5,"陶于兵,程泽东"
PO-71,能源科学技术前沿讲座,16,1.0,"严俊杰,苏光辉,席光,何雅玲,黄佐华,邢子文,厉彦忠,陶文铨"
NG-75,大气污染控制工程,64,4.0,"何炽,高宁博"
NG-87,固体废物处理与处置,48,3.0,"高宁博,全翠"
NG-93,环境影响评价,32,2.0,刘萍萍
NG-11,专业综合实验,64,2.0,张瑜
NG-14,污染控制实验,64,2.0,"张瑜,张润霞,张锦萍"
NG-17,环境规划与管理Ⅰ,32,2.0,孙健
NG-20,环境化学Ⅱ,32,2.0,"延卫,徐浩"
ED-55,中华灯谜艺术及欣赏,32,2.0,"王美玲,陈雪江"
ED-82,汽车构造,32,2.0,汪映
ED-85,星际航行与低温技术,32,2.0,"马原,谢福寿,王磊"
ED-91,制冷技术概论：从地面到空间,32,2.0,"薛绒,张泽,陈汝刚,刘秀芳"
ED-94,能源绿色转化与碳减排,32,2.0,"王利民,杜勇博,刘虎"
ED-00,新能源汽车与无人驾驶革命,32,2.0,蔡骁
ED-03,学科交叉研究：流体遇上纳米材料,32,2.0,"赵昆鹏,李星,孙成珍"
ED-09,走向富足：通过科技改变人类未来,16,1.0,"周致富,李东"
ED-12,汽车文化与社会发展,32,2.0,李倩倩
ED-33,项目管理理论与实践,32,2.0,郭怡
ED-36,通向绝对零度之路——制冷与低温科技史话,32,2.0,陈蕴光
ED-39,能源工程经济学,32,2.0,"刘朝晖,雷贤良"
ED-42,摄影艺术与实践,32,2.0,"李一鸣,陈雪江"
ED-45,书香致远——阅读的艺术,16,1.0,李璐
ED-48,低碳能源转化技术与工程经济管理,32,2.0,"姚尔人,黄柱,席光"
ED-51,碳中和：国家战略与职业规划,32,2.0,"王浥尘,沈振兴,孙健"
ED-54,通过地理读历史,32,2.0,"关祥久,郭坤,蔡文芳,陈庆云"
TH-40,工程数学建模,40,2.0,陈磊
EN-85,材料科学基础与新能源材料,40,2.5,"黄建兵,沈少华,师进文,关祥久"
EN-75,生物学基础与生物质能转化原理及技术,60,3.5,"吕友军,金辉,徐强,赵昆鹏"
EN-84,流体机械能转化原理与技术,38,2.0,"陈斌,周致富,骆政园,李东"
EN-87,新能源热利用与热发电原理及系统,46,2.5,"赵亮,李明涛,赵秋阳"
CL-03,量子力学,48,3.0,赵耀林
CL-12,核材料基础,32,2.0,"恽迪,匡杰,杨健乔"
CL-15,原子物理,32,2.0,赵耀林
CL-30,核辐射防护,40,2.0,"胡华四,胡光,邬良芃"
CL-05,原子核物理实验方法,48,3.0,"张清民,臧航"
CL-11,电离辐射剂量学,52,2.5,"王炫,刘书焕,邬良芃"
CL-14,核反应堆物理分析,40,2.5,"吴宏春,刘宙宇,万承辉"
CL-17,核反应堆控制,40,2.0,"孙培伟,邬良芃"
CL-20,核电子学,48,2.5,"李培,贺朝会,李永宏"
CL-23,核电厂系统与动力设备,40,2.5,"张魁,田文喜,张斌"
CL-26,核反应堆热工分析,48,2.5,"秋穗正,王明军,王成龙,邬良芃,郭凯伦"
CL-32,核信息获取与处理,32,1.5,"刘书焕,王鹏飞"
CL-38,材料热力学,32,2.0,柳文波
CL-47,无机化学,48,3.0,"林健,邱杰"
CL-89,核分析技术,32,2.0,臧航
DE-94,电子系统设计与实践,80,2.5,雷万钧
RE-00,新能源导论,32,2.0,"吴坚,周峻,吴锴"
RE-03,能源互联网,16,1.0,"王锡凡,别朝红,康小宁"
RE-06,电磁通史与技术前沿,32,2.0,"马慧,项彬,刘志远"
RE-09,电气科学与人类文明,32,2.0,"梁得亮,彭宗仁,王建华,李盛涛,荣命哲,张冠军,刘进军,杜正春,杨旭,曹晖,宋政湘,刘定新"
RE-59,聚变能源与等离子体,32,2.0,"李兴文,邱爱慈,陈振茂,田文喜,吴坚"
LC-49,电子技术实验1,16,0.5,"张锋,孙敏,张皎,高昕悦,刘涛"
LC-55,模拟电子技术,64,4.0,"陈文洁,刘涛"
LC-79,数字电子技术,48,3.0,韩春阳
LC-82,模拟电子技术基础,48,3.0,王振兴
LC-85,电子技术基础,80,4.0,"夏建生,原晓楠"
LC-91,电子技术实验-1,16,0.5,"张锋,孙敏,张皎,刘涛,高昕悦"
LC-09,电子技术基础,96,5.0,"赵进全,孙敏"
LC-15,现代电子技术,56,3.0,"赵进全,孙敏"
LC-27,信号与系统,36,2.0,"王发强,沈瑶"
LC-60,数字电子技术与微处理器基础,72,4.5,王永生
LC-81,人工智能与智能仪器,64,3.5,"曾翔君,汤晓君,骆一萍"
LC-08,能源互联与系统分析,68,4.0,"谢海鹏,张海涛"
LC-11,能源互联网信息通信技术,32,2.0,陈晨
LC-83,能源互联网规划,32,2.0,"王建学,吴雄"
LC-86,储能技术概论,32,2.0,"王红康,韩晓刚,张锦英"
LC-92,直流电网技术,36,2.0,"汲胜昌,张凡,张海涛,惠思思"
LC-01,低碳能源经济与市场,52,3.0,"肖云鹏,丁涛"
EC-34,电路,80,4.5,"刘文凤,程璐,沈瑶,王超,高昕悦"
EC-40,电磁场与波,72,4.0,"马西奎,沈瑶,王超,高昕悦"
EC-87,电工电子技术导论,48,3.0,孙晋茹
EC-35,电工电子技术-1,48,3.0,"孟永鹏,贺博"
EC-41,电工电子技术实验-1,16,0.5,"原晓楠,陈琪"
EC-53,模电与大数电实验-2,24,0.5,孙敏
EC-65,信号与系统II,60,3.5,"王发强,沈瑶"
EC-80,电工电子技术实验Ⅱ,16,0.5,原晓楠
EC-83,电工电子技术Ⅱ,32,2.0,王威望
EC-86,模电与大数电实验-2,32,1.0,"孙敏,张皎,刘宁艳,刘涛,孔忻,王鹏光,刘晓娟"
EC-92,电磁场,56,3.5,"邹建龙,沈瑶,王超,高昕悦"
EC-81,电力设备设计原理,32,2.0,"李盛涛,王诗航"
EC-84,电气材料基础,32,2.0,"钟力生,张锦英,吴明"
EC-08,电力系统稳态分析,68,4.0,"郝治国,杨松浩"
EC-16,电气工程及其自动化专业导论,16,1.0,"梁得亮,李盛涛,荣命哲,刘进军,杜正春,杨旭,汲胜昌,宋政湘"
EC-19,大数据科学与应用技术,32,2.0,焦在滨
EC-22,人工智能技术导论,32,2.0,"曹晖,王超"
EC-31,高电压技术,56,3.0,"李江涛,赵军平,惠思思,杜佳"
EC-37,电储能系统与并网技术,40,2.0,"王丰,易皓,刘晓娟,王振雄"
EC-52,电储能系统与并网技术（未来）,32,2.0,李宇飞
EC-44,风力发电与太阳能发电技术,32,2.0,"雷万钧,王来利"
EC-01,电力系统新技术专题New Technology of Power Systems,16,1.0,"王秀丽,杜正春"
EC-07,电力系统自动化,32,2.0,李宇骏
EC-10,电力系统综合实验,64,2.0,宁联辉
EC-25,新能源电力系统规划与运行,40,2.0,"刘俊,张小亮"
EC-61,工程电介质物理学,48,3.0,"李建英,武康宁"
EC-76,电磁兼容技术,48,2.5,"陈玉,王双,白洁,孔忻"
EC-09,放电等离子体基础及应用,32,2.0,"李兴文,石桓通,吴坚"
EC-12,电气设备现代设计,40,2.0,"耿英三,吴益飞,王宣东,李昊旻"
EC-18,电器理论基础,48,2.5,"史宗谦,王宣东"
EC-21,电机设计,40,2.0,丁文
EC-24,高电压试验与测试,48,2.5,"张乔根,刘轩东,赵军平"
EC-42,控制电机,48,2.5,"娄建勇,孙萍"
EC-51,高电压绝缘技术基础,40,2.0,"张冠军,孙安邦,常正实,李文栋,惠思思"
EC-54,电力开关设备,32,2.0,"吴翊,闫静"
EC-69,工业计算机控制技术,56,3.0,"崔栋刚,甘永梅,迟晓红"
EC-72,电机测试技术,32,2.0,刘凌
EC-75,单片计算机原理及应用,36,2.0,"贾立新,迟晓红"
EC-78,智能电网储能应用技术,36,2.0,"王建学,孟永庆,张小亮"
EC-47,储能装置开发项目设计,32,1.0,孟锦豪
ED-92,新能源材料与装备,32,2.0,"张磊,毛佳乐,石建稳,张锦英,史乐,许鑫,陈欣,郑红,成永红"
ED-95,科学测量与发现,32,2.0,"吴治诚,庞磊,赵军平"
ED-10,项目管理概论,32,2.0,"许鑫,陈欣,毛佳乐,陈玉"
ED-13,电气工程与生命健康,32,2.0,"许德晖,刘定新"
SM-88,测控电路,40,2.0,"丁晖,孔忻"
SM-15,MEMS传感器和执行器,32,2.0,"李运甲,王曙东"
SJ-47,智能电器的设计与开发,56,2.0,宋政湘
SJ-68,国际交流,0,0.0,"杨旭,祝令瑜"
SJ-83,储能装置监测系统设计,64,3.0,"宋政湘,孙丽琼"
SJ-89,科创能力与竞赛训练,32,1.0,"刘文凤,迟晓红,沈瑶,张璞,刘宁艳,白洁,孙晓华,高昕悦,吕泽鹏,原晓楠,李瑞程,孙丽琼,王超,孙敏,吕亮,杜锦华,陈欣,孟永鹏,贺博,刘定新,骆一萍,张皎"
EN-76,储能装置设计开发-2,104,3.5,宋政湘
SP-88,空气与气体动力学,72,4.0,张科
SP-65,航空发动机总体设计,32,2.0,薛瑞
SP-10,航空推进原理,56,3.0,杨亚晶
SP-16,航空飞行器总体设计,32,2.0,胡淑玲
SP-19,航天飞行器总体设计,32,2.0,陈刚
SP-22,飞行器制导与导航原理,40,2.0,梁勇奇
SP-25,航空航天推进技术,32,2.0,左逢源
SP-28,热工基础Ⅱ,32,2.0,阳倦成
SP-31,工程热力学II,48,3.0,武俊梅
SP-13,航空发动机结构与强度,40,2.5,杨利花
SP-55,航空发动机控制系统,32,2.0,杨朝旭
SP-58,飞行控制系统设计,32,2.0,荣海军
SP-61,飞行器气动课程设计,32,1.0,姬兴
SP-67,项目设计,32,1.0,胡淑玲
SP-70,人工智能技术概论,32,2.0,杨朝旭
SP-91,航天器动力学与控制,32,2.0,"孙剑,郎安琪"
SP-94,航空发动机结构动力学,32,2.0,徐自力
SJ-61,工程结构（实物）项目设计-1,16,0.5,李勇
SJ-64,结构模块课程设计-1,16,0.5,秦庆华
CH-12,机械工程基础,32,2.0,张建勋
CH-33,力学与空天工程概论,16,1.0,"申胜平,徐光魁,雷蒋,左逢源,谢勇,许丁,刘马宝,翟崇朴"
CH-45,理论力学,56,3.5,谭宁
CH-51,基础力学实验-1,16,0.5,刘书静
CH-54,基础力学实验-2,16,0.5,武彤晖
CH-14,振动力学,48,3.0,"徐自力,谢石林"
CH-62,流体力学Ⅱ,56,3.0,许丁
CH-65,实验力学-1,32,2.0,"张舒文,王正锦"
CH-68,实验力学-2,64,2.0,"裴翠祥,刘冉,田征"
CH-71,计算流体力学,36,2.0,陈春刚
CH-80,固体力学,96,6.0,"刘咏泉,徐光魁"
CH-34,非线性动力学导论,32,2.0,谢勇
CH-37,塑性力学,32,2.0,郁汶山
CH-15,复合材料力学,16,1.0,宋亚勤
CH-27,疲劳与断裂,32,2.0,"卢同庆,王铁军"
CH-64,专业认知II,16,0.5,宋建伟
TR-81,科研训练-2,80,0.5,郁汶山
AU-87,金融学,48,2.5,乔政
AU-01,中级财务会计 I,32,2.0,张俊瑞
AU-04,中级财务会计 II,64,4.0,王欣
AU-16,税法,32,2.0,曹建安
AU-31,MA管理会计（ACCA）,48,3.0,欧佩玉
AU-34,FA财务会计（ACCA）,48,3.0,骆蕾
AU-37,BT商业与技术（ACCA）,48,3.0,赵红
AU-49,AA 审计与认证业务（ACCA）,48,3.0,李星
AU-21,P4 高级财务管理,48,3.0,骆蕾
AU-24,P5 高级业绩管理,48,3.0,董南雁
AU-94,会计信息化,16,1.0,董南雁
ED-16,《黄帝内经》中的管理哲学,16,1.0,魏泽龙
ED-22,中华德学原理源流与经典学习导引,16,1.0,程少川
ED-37,数字经济分析与实践,32,2.0,"符皓然,王伟,王凯"
SJ-05,创业实践,16,1.0,"赵文红,李福荔,姜飞飞"
WS-80,LW 公司法与商法（ACCA）,48,3.0,FONSEKA MEIMANAGE MOHANPRADEEP
GT-36,系统工程,32,2.0,李刚
GT-11,管理信息系统,32,2.0,刘笑笑
GT-17,系统工程I,48,3.0,吴锋
GT-43,统计学,32,2.0,常象宇
GT-49,宏观经济学,48,3.0,杨晶玉
GT-04,市场营销学,32,2.0,杨林岩
GT-13,公司理财,32,2.0,王鲁平
GT-22,企业战略管理,32,2.0,杨建君
GT-31,薪酬与绩效管理,32,2.0,周密
GT-34,创业管理,32,2.0,赵文红
GT-21,项目管理1,32,2.0,"何正文,肖忠东"
GT-27,设施规划与物流分析,32,2.0,贾涛
GT-66,人因工程,32,2.0,刘树林
GT-29,现代产品开发与设计,32,2.0,李刚
GT-47,现代物流与供应链管理,32,2.0,王能民
GT-50,管理沟通,32,2.0,"尚玉钒,刘人境,钟萌"
GT-59,生产计划与控制,32,2.0,刘雅
GT-92,管理学,48,3.0,王磊
GT-25,创新管理,32,2.0,魏泽龙
GT-67,智能决策与机器学习II,32,2.0,林绍波
GT-76,社交网络与文本分析,32,2.0,刘跃文
GT-79,大数据管理方法与应用,32,2.0,刘佳鹏
GT-88,大数据统计与计量分析II,32,2.0,刘笑笑
GT-91,最优化理论与算法I,32,2.0,叶海山
GT-30,机器学习-1,32,2.0,王开东
GT-20,工业品营销与营销渠道管理,32,2.0,"肖振鑫,刘静文"
GT-56,消费者行为学,32,2.0,"杨林岩,刘野逸,刘园园"
GT-45,大数据管理与应用实践,16,1.0,王迪
AT-14,应用统计分析,32,2.0,林军
AT-17,应用统计实践,32,1.0,"郑嘉俐,周晓阳"
TS-28,中外美术史,64,4.0,熊雯
TS-91,音乐,32,2.0,"曹耿献,文茹,刘俊峰"
TS-85,中国古代文字学通论,32,2.0,刘琰
TS-27,Design Thinking and Methods,32,2.0,冯伟
TS-33,Frontiers of Technology and Art,32,2.0,"赵一青,何静,徐钰彬"
TS-36,设计概论,48,3.0,"牛琛富茜,吴雪,欧阳振宇"
TS-54,设计构成,64,4.0,"牛琛富茜,石淑捷"
TS-51,景观植物学,32,2.0,杨眉
TS-44,篆书理论与实践III,48,3.0,尚磊明
TS-19,公共空间设计,64,4.0,吴雪
TS-22,标志与视觉识别系统设计,64,4.0,董琪
TS-34,插画艺术创作,64,4.0,石淑捷
TS-43,雕塑创作 II,64,4.0,苗祥瑞
TS-46,生态景观设计,48,3.0,杨眉
TS-61,专业设计-2,64,4.0,刘令贵
TS-70,设计技术-2,32,2.0,"何静,徐钰彬"
TS-76,专业设计-1,64,4.0,赵兴杨
TS-03,草书临摹与创作-2,48,3.0,王劲
TS-06,隶书临摹与创作-2,32,2.0,孙立滨
TS-18,行书临摹与创作-3,48,3.0,程健
TS-21,楷书临摹与创作-2,48,3.0,孙立滨
TS-30,篆书临摹与创作-1,32,2.0,尚磊明
TS-50,中国书法遗迹考察,32,2.0,"杨晓萍,尚磊明,李颖"
TS-16,浮雕创作,64,4.0,欧阳振宇
TS-67,古代碑帖选读,32,2.0,李颖
TS-94,篆刻学II,32,2.0,孙立滨
TS-12,书法美学,32,2.0,"杨晓萍,李娟"
TS-05,品牌策划与品牌设计,64,4.0,鲁鹏
TS-77,人物塑造,64,4.0,欧阳振宇
TS-83,数字化设计与建造,32,2.0,"陈强,刘令贵"
TS-86,多媒体广告设计,64,4.0,"牛琛富茜,石淑捷"
TS-37,传统雕塑临摹,64,4.0,张菊芳
RE-16,中国哲学经典著作导读,32,2.0,"燕连福,龚建平,邓妙子,妥建清,雒自新,韩鹏杰,刘俊"
RE-18,音乐鉴赏,32,2.0,"梁睿,文茹,金晨,刘俊峰,李娟,曹耿献,方小笛"
RE-21,中国传统文化,32,2.0,"陆卫明,鲁鹏,王劲,宋希斌,邓妙子,韩鹏杰,李娟"
RE-27,心理学基础,32,2.0,李占星
RE-30,交响音乐赏析,32,2.0,"刘俊峰,文茹,方小笛,李娟,曹耿献"
RE-36,创意写作,32,2.0,"魏琛琳,李明,吴艳,李昕,孙启洲,王瑶"
RE-39,美术与世界,32,2.0,"鲁鹏,苗祥瑞,牛琛富茜,熊雯,张菊芳,杨健雄,周利明"
RE-42,生活中的社会学,32,2.0,"彭瑾,杨建科,孙晓冬,童梅"
RE-35,社会心理学,32,2.0,"王渭玲,王瑜萍,钱玉燕,马亚婷,童梅"
RE-48,公益与慈善,56,2.0,"李娜,孙晓冬,彭瑾"
RE-51,中国文化与文学精粹,32,2.0,"刘祥,李明,李楚,古栋,孙启洲,曾祥金,黎荔,刘彦彦"
